"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870","1085",,"6","10",,"8.0","1.91","94",,"39.26","22.5","53.8","60.5","47.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871","766",,"7","-2",,"9.0","2.70","92","5059","51.40","34.4","51.3","58.8","43.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872","1145",,"11","3",,"18.0","2.91","96","6110","44.01","38.3","51.3","58.8","43.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873",,,"12","-1",,"6.0","4.80","94",,"48.02","41.3","50.9","58.1","43.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874","775",,"5","3",,"10.0","3.28","98","5770","45.85","36.6","51.3","59.0","43.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875","844",,,"-3",,,"2.63","93","6099","40.69",,"49.4","56.4","42.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876","1113",,"11","3",,"11.0","4.25","98","5780","41.79","30.7","51.9","58.7","45.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877","985",,"8","10",,"8.2","4.05","92","5953","40.22","27.4","52.8","59.6","46.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878","1012",,"5","7",,"5.0","3.31","94","5050","48.69","13.7","53.6","60.2","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879","882",,"14","-4",,"13.0","3.95","98","5546","39.05","38.1","52.1","59.4","44.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880","1064",,"11","-6",,"4.0","1.86","96","4907","36.66","27.8","52.9","60.2","45.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1881","988",,"9","-3",,"6.5","2.19","101","6343","36.29","24.1","52.2","59.4","45.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1882","931",,"11","-6",,"9.0","8.28","93","5242","45.32","44.2","51.7","58.3","45.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1883","766",,"13","-1",,"7.3","1.94","95","6103","35.80","52.8","50.2","57.1","43.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884","977",,"10","-3",,"5.0","4.29","91","5969","52.07","31.7","52.2","58.9","45.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885","887",,"7","-2",,"6.5","2.44","99","5985","35.42","23.4","50.6","57.6","43.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886","749",,"11","-4",,"5.3","2.74","94","5624","39.40","31.1","51.3","58.7","43.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887","899",,"11","4",,"5.0","2.60","96","5849","44.02","30.9","50.9","58.3","43.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888","733",,"12","0",,"16.5","4.19","96","6491","53.33","37.8","49.4","56.6","42.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889","823",,"7","3",,"5.5","3.65","91","5431","58.20","21.1","52.8","59.6","46.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890","860",,,"7",,,"1.87","98","5090","45.68",,"53.0","59.9","46.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891","1103",,,"9",,,"1.91","98","5470","39.45",,"54.1","61.1","47.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892","992",,,"9",,,"2.43","97","5249","35.46",,"52.2","59.0","45.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893","780",,,"1",,,"3.61","95","6070","48.28",,"50.7","57.6","43.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894","916",,,"1",,,"4.30","96","5303","40.45",,"52.9","59.6","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895","1222",,,"-4",,,"1.95","97","5657","35.39",,"53.0","60.3","45.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896","1209",,,"-5",,,"2.74","98","5315","41.98",,"53.6","60.5","46.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897","924",,,"6",,,"2.29","93","5100","44.56",,"53.6","60.3","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898","1173",,,"8",,,"3.07","100","4759","47.94",,"55.1","61.3","48.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899","1176",,,"-6",,,"2.29","95","5241","38.60",,"53.9","60.6","47.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900","1250",,,"5",,,"2.02","97","5281","41.21",,"54.2","61.2","47.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1901","1122",,,"8",,,"3.07","100","5172","47.94",,"52.4","58.7","46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1902","712",,,"8",,,"3.06","90","5274","52.79",,"53.0","59.3","46.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1903","744",,,"4",,,"7.33","95","4736","58.54",,"53.0","59.4","46.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1904","953",,,"-4",,,"3.63","94","5975","41.66",,"50.9","57.6","44.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1905","1147",,,"4",,,"2.47","96","5762","37.47",,"53.4","59.9","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1906","1336",,,"8",,,"2.62","94","4858","40.21",,"55.0","61.4","48.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1907","1045",,,"4",,,"2.34","92","5394","46.75",,"52.9","59.3","46.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1908","1342",,,"1",,,"3.82","96","5128","41.07",,"55.0","61.2","48.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1909","900",,,"5",,,"4.80","93","4801","41.70",,"53.7","59.8","47.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1910","1015",,,"1",,,"2.60","94","4989","33.74",,"53.5","59.6","47.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1911","1055",,,"13",,,"3.76","100","5397","48.84",,"53.4","60.2","46.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1912","905",,,"-3",,,"2.97","97","5598","45.59",,"52.7","60.3","45.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1913","911","3","1","11","2","1.6","4.98","95","4493","58.04","3.5","54.9","62.7","47.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1914","916","32","9","-5","13","13.5","2.95","95","5322","40.08","42.9","51.9","59.7","44.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1915","855","19","8","12","9","10.0","3.25","94","5162","45.76","34.4","53.4","60.9","45.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1916","886","53","14","2","12","12.7","2.66","95","5555","37.93","57.2","52.2","59.6","44.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1917","907","43","15","-13","8","8.0","2.54","100","5518","41.07","50.6","50.7","58.1","43.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1918","912","39","7","-6","6","5.9","2.00","104","5893","38.30","20.4","53.1","60.9","45.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1919","914","13","6","-1","2","2.7","2.72","99","4693","53.33","12.4","53.8","61.1","46.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1920","886","60","12","-2","12","5.9","2.21","94","5803","53.24","40.6","52.2","60.6","43.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1921","1045","14","7","4","12","12.5","2.68","96","4468","37.80","24.2","54.8","63.3","46.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1922","964","25","11","-2","5","5.4","2.13","94","5156","44.69","29.4","53.5","61.5","45.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1923","925","50","14","7","8","7.8","2.45","99","5547","40.57","52.9","52.8","61.0","44.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1924","751","16","9","5","7","8.5","2.29","99","5235","41.73","26.9","51.9","59.8","43.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1925","991","41","6","-2","11","11.5","2.14","99","5043","41.45","30.5","53.4","61.4","45.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1926","815","41","7","5","20","10.4","3.34","100","5736","47.85","42.4","51.2","59.0","43.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1927","674","12","3","-1","4","5.1","3.84","92","5379","56.06","12.7","53.4","60.9","45.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1928","896","14","4","7","4","5.3","1.69","94","5004","45.64","14.4","53.5","60.8","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1929","1083","14","4","8","8","8.0","2.16","99","4833","40.42","18.2","54.1","61.9","46.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1930","1208","10","5","7","3","2.9","3.03","102","5026","39.00","13.1","54.5","62.0","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1931","1238","6","3","11","2","2.8","1.62","99","5098","36.09","8.1","55.8","63.4","48.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1932","1131","8","3","11","6","6.7","2.38","96","4335","43.93","12.6","55.1","62.9","47.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1933","1133","22","7","-6","11","11.2","4.16","102","4631","53.54","33.1","54.2","61.8","46.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1934","1086","36","11","-15","13","9.8","4.86","101","5629","49.83","37.6","52.9","60.7","45.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1935","979","36","11","-1","17","12.8","1.60","95","5240","33.89","42.1","53.0","60.7","45.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1936","1071","44","7","-3","9","9.0","3.92","106","5370","49.85","27.2","53.4","61.3","45.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1937","1108","6","4","14","5","5.7","3.07","100","4813","52.68","14.0","54.4","62.0","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1938","1098","23","8","6","9","4.9","4.05","96","4906","48.54","28.1","55.2","62.9","47.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1939","1287","22","7","6","8","7.8","2.31","96","4845","38.55","25.9","54.6","62.3","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1940","878","29","11","7","9","7.7","3.13","98","5620","45.09","27.8","51.9","59.2","44.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1941","1204","25","7","10","13","15.7","2.97","98","5209","39.04","34.2","54.9","63.2","46.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1942","1073","27","7","-4","3","4.1","4.10","97","4662","48.54","19.5","54.0","61.8","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1943","1253","20","6","-8","8","7.1","3.40","99","5251","36.76","21.0","53.7","61.8","45.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1944","1403","21","8","12","7","6.5","3.94","102","5201","45.04","30.5","54.6","62.6","46.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1945","1077","56","12","2","10","8.0","3.10","97","5002","45.00","39.8","54.1","61.9","46.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1946","939","12","5","5","7","5.5","2.71","94","4889","38.37","13.5","55.3","63.7","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1947","1115","37","10","7","26","26.1","2.36","95","4822","40.81","59.5","53.7","61.4","46.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1948","1063","70","16","0","17","15.8","2.49","103","5308","46.89","65.0","54.0","61.5","46.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1949","1316","19","5","17","9","9.0","1.31","102","4200","36.23","18.5","56.9","64.8","48.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1950","868","13","6","6","4","3.5","1.59","95","4804","36.95","16.0","53.6","61.2","45.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1951","1057","11","4","8","3","2.5","2.20","94","4560","43.78","8.8","54.9","62.9","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1952","1258","12","9","8","6","5.5","1.95","100","4718","41.58","26.2","55.8","63.3","48.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1953","1270","6","3","14","3","2.2","2.61","102","4382","45.24","7.7","57.0","64.8","49.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1954","1068","11","4","7","9","5.4","2.90","100","4419","35.62","13.8","54.9","62.9","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1955","1277","12","4","0","3","3.6","3.62","100","4755","39.94","15.8","54.6","62.5","46.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1956","902","13","6","14","13","7.8","2.41","99","5387","36.28","30.2","53.5","60.7","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1957","1229","19","7","0","8","7.5","2.55","101","4781","36.52","29.8","55.4","63.1","47.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1958","909","39","10","3","10","7.1","2.19","93","5010","40.95","39.8","52.5","59.5","45.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1959","1416","14","4","7","14","10.3","1.80","97","5185","38.78","25.6","55.4","63.2","47.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1960","978","31","9","8","15","12.5","3.56","91","4898","46.43","41.6","54.0","61.5","46.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1961","1344","43","9","-2","24","11.4","2.10","97","5110","39.36","43.8","55.0","62.7","47.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1962","977","17","6","4","3","2.9","2.33","99","4738","37.17","15.0","53.4","61.5","45.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1963","920","25","9","-2","6","6.0","2.96","98","5328","34.31","23.0","53.5","61.8","45.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1964","1033","28","10","9","13","11.5","1.29","99","4859","33.02","36.5","54.5","62.7","46.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1965","991","21","8","9","6","6.3","1.35","95","5015","26.12","21.3","54.2","62.0","46.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1966","1322","28","9","8","8","6.7","5.54","103","4818","39.91","30.4","55.0","63.0","47.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1967","989","28","13","4","13","12.5","2.15","96","5236","49.14","51.2","52.9","60.6","45.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1968","1109","21","5","-1","5","5.5","3.99","98","5246","43.60","17.8","54.0","62.0","46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1969","1199","34","9","11","15","14.0","3.32","97","4770","48.54","30.0","54.8","62.1","47.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1970","1269","39","9","3","4","4.0","2.63","94","5283","35.31","21.3","54.2","61.7","46.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1971","1305","8","4","4","6","6.4","4.16","96","5057","56.79","13.1","55.2","62.3","48.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1972","1033","16","8","5","5","5.7","5.60","94","4743","67.05","22.9","53.8","61.4","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1973","1259","7","3","7","3","1.8","3.67","98","4797","57.25","5.6","56.0","63.8","48.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1974","1062","29","6","6","6","6.0","3.26","95","4594","47.74","20.9","54.7","62.5","46.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1975","993","12","4","15","8","7.8","2.30","98","4771","61.22","15.3","54.9","62.3","47.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1976","1049","24","10","-1","4","4.0","3.90","96","4660","41.31","20.1","53.3","61.4","45.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1977","1234","40","7","-2","6","5.0","7.40","104","5502","54.73","20.0","54.3","61.6","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1978","992","52","13","10","18","15.5","3.38","95","5427","49.81","52.8","52.9","60.1","45.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1979","1185","19","7","0","16","12.7","3.45","95","4826","52.15","30.2","55.7","62.8","48.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980","1405","7","7","-1","2","3.6","3.47","102","4521","44.59","12.1","54.9","62.6","47.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1981","1206","22","5","2","6","8.6","1.77","96","4953","38.12","18.7","55.2","62.3","48.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1982","1034","24","5","0","9","9.6","2.73","98","5074","41.41","25.5","54.8","62.1","47.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1983","1402","18","5","4","19","12.5","4.31","99","4378","80.57","25.8","56.0","63.2","48.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1984","1118","23","9","8","7","5.1","3.13","96","4923","57.07","29.4","55.4","62.4","48.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1985","1131","21","5","-2","7","4.3","3.13","95","4331","38.84","19.5","55.5","62.9","48.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1986","1082","11","3","8","6","4.5","2.19","98","4549","42.99","12.7","55.2","63.0","47.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1987","1156","31","8","4","9","8.1","2.36","97","4702","46.46","26.3","55.1","62.9","47.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1988","1285","23","4","5","9","5.2","3.37","99","4912","44.70","15.7","54.8","62.9","46.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1989","1028","11","3","6","5","5.0","3.00","96","4754","65.12","14.0","53.9","61.8","46.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990","1156","11","4","7","7","6.6","4.64","95","4663","60.94","14.5","57.2","65.3","49.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1991","1421","10","3","10","9","8.4","3.00","102","4032","45.19","18.4","57.2","65.5","48.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1992","879","8","4","11","6","6.2","2.80","93","4716","43.37","12.2","53.9","61.6","46.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1993","1329","22","8","7","8","10.2","2.37","102","4849","44.29","31.0","55.5","63.7","47.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994","1184","66","12","-2","22","12.8","1.87","98","5077","47.39","46.5","55.2","63.5","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995","1280",,"6","6",,"10.8","3.13","102","4279","40.44","26.3","55.3","63.0","47.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1996","970",,"12","5",,"13.6","4.35","96","5210","56.22","61.3","53.7","60.5","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997","955",,"4","4",,"3.5","3.75","97","4775","43.99","9.9","54.3","61.6","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998","1170",,"2","14",,"5.0","2.55","93","4353","48.72","7.5","57.1","64.0","50.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999","1281",,"4","9",,"4.0","5.02","101","4291","41.54","10.7","56.5","63.9","49.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000","880",,"7","3",,"12.0","3.24","93","4490","45.47","29.7","53.8","60.7","46.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001","1184",,"6","16",,"6.0","2.16","103","5045","35.67","21.7","56.2","63.4","49.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002","1349",,"3","19",,"6.0","3.06","98","3946","45.25","14.5","56.4","63.8","49.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003","982",,"12","7",,"16.3","2.75","94","5357","58.45","58.1","53.4","60.1","46.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004","1019","29","6","1","12","6.0","3.84","91","4854","51.94","25.9","54.5","61.5","47.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005","1437","43","14","5","14","8.5","4.26","99","4781","55.99","47.7","55.7","62.9","48.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006","1100","10","4","15","17","24.1","3.60","97","4319","59.90","30.3","56.8","63.9","49.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007","1179","13","6","8","5","5.5","7.57","92","4521","61.73","15.4","55.0","62.3","47.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008","1137","9","4","10","5","6.0","3.26","96","4531","53.64","15.0","55.3","62.8","47.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009","843","27","11","6","10","9.1","2.30","92","4896","53.64","34.0","54.0","60.9","47.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010","1513","24","7","13","21","12.2","3.86","103","4433","49.40","59.1","56.7","63.8","49.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011","1298","52","12","6","23","12.3","5.81","104","4784","72.85","44.6","56.4","63.6","49.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012","1247","4","2","13","4","4.3","2.45","100","3773","38.54","9.6","57.3","64.3","50.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013","1246","17","8","11","11","6.3","4.16","98","4700","46.35","29.7","55.3","62.3","48.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014","1100","53","12","4","18","11.0","4.97","92","5010","53.80","50.0","54.4","61.6","47.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015","1539","54","14","2","19","7.5","2.10","97","5025","40.98","49.1","56.7","64.1","49.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016","1457","13","4","-1","22","27.3","2.31","96","3819","42.21","36.0","57.2","64.6","49.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017","1225","24","9","9","8","9.4","3.03","94","4277","45.07","34.6","56.4","63.2","49.5"
